Date,Non-Performing_Ratio,Unemployment,IGAE,Inflation,Cetes91,Monetary_Base,Equity_Price_Index
01/01/05,0.032403082,0.036366426,84.62141805,0.0427,0.0874,323566.2161,13097.12012
01/02/05,0.032696915,0.035513591,84.79888347,0.0439,0.0931,309930.025,13789.45996
01/03/05,0.033007931,0.036325339,84.60722324,0.046,0.0974,312540.1677,12676.90039
01/04/05,0.038921517,0.035664991,84.99062828,0.046,0.1,303633.6567,12322.99023
01/05/05,0.035698642,0.036763409,85.36321177,0.0433,0.0992,306319.2226,12964.38965
01/06/05,0.03671391,0.037437338,84.70925222,0.0447,0.0976,306891.5867,13486.12988
01/07/05,0.038708846,0.035753234,84.86895515,0.0395,0.0974,312064.3258,14409.66016
01/08/05,0.038992016,0.034349727,86.03455753,0.0351,0.0969,309253.9548,14243.19043
01/09/05,0.040179356,0.033406551,86.03717488,0.0305,0.0914,307505.31,16120.08008
01/10/05,0.039405979,0.032609981,86.34391725,0.0291,0.0895,310521.0581,15759.73047
01/11/05,0.039128474,0.031476421,87.14952448,0.0333,0.0876,319160.33,16830.96094
01/12/05,0.03892736,0.03173464,87.61334493,0.0394,0.082,366800.6,17802.71094
01/01/06,0.039500911,0.032022098,89.05985663,0.0375,0.078,363490.3258,18907.09961
01/02/06,0.041599692,0.035217539,88.36809946,0.0341,0.0757,351223.4571,18706.32031
01/03/06,0.041387727,0.0333591,88.423155,0.032,0.0738,346953.0387,19272.63086
01/04/06,0.044495342,0.033822064,88.94211703,0.03,0.0728,357206.8667,20646.18945
01/05/06,0.046387291,0.031451108,89.69540283,0.0318,0.0712,355670.3677,18677.91992
01/06/06,0.047576242,0.035064909,89.43169207,0.0306,0.0733,361270.63,19147.16992
01/07/06,0.049060656,0.036653034,89.55381637,0.0347,0.0718,368647.4548,20095.92969
01/08/06,0.049345795,0.036169425,89.81130178,0.0409,0.0717,364882.9935,21049.34961
01/09/06,0.051164452,0.037280349,89.72569289,0.0429,0.0718,362041.1033,21937.10938
01/10/06,0.053664788,0.036777367,89.96768918,0.0409,0.0721,363650.4032,23046.94922
01/11/06,0.055195672,0.037397956,89.62993216,0.0405,0.0716,376198.24,24962.00977
01/12/06,0.054702375,0.037903448,90.20292583,0.0398,0.0716,428881.4516,26448.32031
01/01/07,0.055732795,0.037299133,90.0736024,0.0411,0.0719,421403.6806,27561.49023
01/02/07,0.057458425,0.038166369,90.33520796,0.0421,0.0719,406206.375,26638.94922
01/03/07,0.057181157,0.038003908,90.78384279,0.0399,0.0721,400958.6323,28747.68945
01/04/07,0.058847434,0.036879938,91.03527886,0.0395,0.0715,406579.0433,28996.71094
01/05/07,0.059865286,0.0346448,91.20560445,0.0398,0.0741,400549.4097,31398.96094
01/06/07,0.0613251,0.035386717,91.80682234,0.0414,0.0738,403209.03,31151.05078
01/07/07,0.062921497,0.034870675,91.85102156,0.0403,0.0734,408382.3613,30659.66016
01/08/07,0.064121099,0.035765727,91.79232859,0.0379,0.0738,408006.9129,30347.85938
01/09/07,0.065881403,0.035038676,92.38599345,0.0374,0.0736,406606.74,30296.18945
01/10/07,0.066773607,0.036314633,92.25440343,0.0393,0.0743,405749.6419,31458.66992
01/11/07,0.068456049,0.035536868,91.83328102,0.0376,0.076,417319.5233,29770.51953
01/12/07,0.0688652,0.035246612,92.05819036,0.037,0.076,475281.6968,29536.83008
01/01/08,0.068392623,0.038167067,92.39268211,0.0372,0.0758,468921.0935,28793.64063
01/02/08,0.070255889,0.036800245,92.35725365,0.0425,0.0751,449048.7207,28918.51953
01/03/08,0.066886158,0.037599117,91.88701045,0.0455,0.0747,452863.1839,30912.99023
01/04/08,0.07304212,0.036172389,92.94511635,0.0495,0.0754,438953.1733,30281.41016
01/05/08,0.080788033,0.035752532,92.61186812,0.0526,0.0759,444181.5548,31975.4707
01/06/08,0.082360291,0.036122212,93.37604708,0.0539,0.0779,447343.0433,29395.49023
01/07/08,0.08613448,0.038435913,93.41654003,0.0557,0.0821,455419.5839,27501.01953
01/08/08,0.093011648,0.037764464,92.35777351,0.0547,0.0835,459380.9387,26290.99023
01/09/08,0.094566581,0.038561759,92.11413628,0.0578,0.0832,458843.5567,24888.90039
01/10/08,0.099571062,0.040235549,92.2964991,0.0623,0.0813,464836.0968,20445.32031
01/11/08,0.103723067,0.045372859,91.07283989,0.0653,0.0796,486160,20534.7207
01/12/08,0.09426746,0.045357641,90.03594969,0.0628,0.082,554329.8871,22380.32031
01/01/09,0.097929015,0.046722963,86.82034694,0.062,0.0766,554835.7742,19565.14063
01/02/09,0.102695514,0.050007505,86.55517531,0.0604,0.0732,539009.8786,17752.17969
01/03/09,0.104250052,0.04956236,86.47832438,0.0617,0.0722,534667.1484,19626.75
01/04/09,0.117412826,0.051974214,85.35541325,0.0598,0.0599,538609.65,21898.84961
01/05/09,0.12663325,0.055968193,85.08588981,0.0574,0.0524,533271.471,24331.71094
01/06/09,0.125146998,0.052866239,86.36991445,0.0544,0.0503,531616.5033,24368.38086
01/07/09,0.122153213,0.054617002,87.86214628,0.0508,0.0469,536309.9774,27043.5
01/08/09,0.106353052,0.057088666,87.57501062,0.0489,0.0459,532967.9419,28129.94922
01/09/09,0.098331596,0.059892368,88.01029795,0.045,0.046,526035.6567,29232.24023
01/10/09,0.096531549,0.05492713,88.60416081,0.0386,0.0464,525704.6871,28646.0293
01/11/09,0.092887173,0.052884728,89.4167544,0.0357,0.0461,537210.5767,30957.10938
01/12/09,0.088103087,0.05291507,89.80667103,0.0446,0.046,601856.1839,32120.4707
01/01/10,0.085167836,0.054120553,89.78562399,0.0483,0.0462,607357.4161,30391.60938
01/02/10,0.078249159,0.051120444,90.19100438,0.0497,0.0464,587164.0679,31634.53906
01/03/10,0.072987609,0.051489393,90.83139363,0.0427,0.0464,580745.871,33266.42969
01/04/10,0.071911058,0.054574753,91.641255,0.0392,0.0463,577777.8033,32687.32031
01/05/10,0.071071557,0.052519487,91.57272109,0.0369,0.0464,575522.6806,32038.5293
01/06/10,0.069173679,0.05137112,91.50941552,0.0364,0.0466,578256,31156.9707
01/07/10,0.065203163,0.05293958,91.74683088,0.0368,0.0464,586714.1806,32308.74023
01/08/10,0.061278976,0.050153336,92.04187759,0.037,0.0464,588393.4516,31679.84961
01/09/10,0.058753779,0.052868004,92.47906922,0.0402,0.0461,589136.38,33330.33984
01/10/10,0.057861441,0.053320011,92.39899645,0.0432,0.0439,583735.9129,35568.21875
01/11/10,0.056471926,0.053089287,92.4872367,0.044,0.0425,596288.7633,36817.32031
01/12/10,0.053369508,0.055109749,93.32681411,0.0378,0.0453,672809.4097,38550.78906
01/01/11,0.050161203,0.050316344,93.41268409,0.0357,0.0444,663365.2677,36982.23828
01/02/11,0.048069128,0.052618122,93.61544054,0.0304,0.0429,644294.2036,37019.69922
01/03/11,0.047335561,0.051106878,94.14949939,0.0336,0.0432,634313.6903,37440.51172
01/04/11,0.048514175,0.051993984,93.30489556,0.0325,0.0439,642758.6733,36962.62109
01/05/11,0.052325501,0.053665014,94.65775467,0.0328,0.0445,637068.3548,35832.78906
01/06/11,0.055134605,0.055560624,95.08560203,0.0355,0.0439,636678.21,36558.07031
01/07/11,0.054185735,0.052054105,95.46635212,0.0342,0.0427,641170.3581,35999.33984
01/08/11,0.052439059,0.052890293,96.10320634,0.0314,0.0422,640984.4258,35721.10156
01/09/11,0.052243815,0.050807921,96.16951326,0.032,0.0428,638474.1833,33503.28125
01/10/11,0.051976685,0.048741185,96.32810089,0.0348,0.0437,644720.4258,36159.98828
01/11/11,0.050097723,0.05056283,96.97474989,0.0382,0.0437,665241.9333,36829.14844
01/12/11,0.04863464,0.050226335,96.79895613,0.0405,0.0444,738804.0484,37077.51953
01/01/12,0.047060333,0.046315733,97.40982243,0.0387,0.0446,738909.3226,37422.67969
01/02/12,0.046096133,0.052878829,97.63179141,0.0373,0.0439,721050.1414,37816.69141
01/03/12,0.046368985,0.050194452,97.88748523,0.0341,0.0443,714770.2935,39521.23828
01/04/12,0.047930936,0.049089587,98.18614883,0.0385,0.0435,731946.3467,39461
01/05/12,0.048442655,0.047752715,97.94707413,0.0434,0.0439,734876.0129,37872.94922
01/06/12,0.049213712,0.04819582,98.61002368,0.0442,0.0446,741039.1867,40199.55078
01/07/12,0.048418938,0.047462352,99.14951873,0.0457,0.0441,747412.3645,40704.28125
01/08/12,0.047701479,0.049422528,98.63482505,0.0477,0.0432,741511.0032,39421.64844
01/09/12,0.048303105,0.045996129,99.01007184,0.046,0.0427,729526.65,40799.23828
01/10/12,0.049035101,0.04912541,99.09072735,0.0418,0.0435,727687.9806,41619.96094
01/11/12,0.048928497,0.051395975,100.0328598,0.0357,0.0446,745831.3633,41833.51953
01/12/12,0.048243287,0.048975861,99.56196096,0.0325,0.0421,816380.3387,43705.82813
01/01/13,0.048179539,0.051656905,99.74123127,0.0355,0.043,805662.4516,45278.05859
01/02/13,0.049069207,0.048078217,99.52714996,0.0425,0.0419,778668.95,44120.98828
01/03/13,0.050208354,0.049748257,99.60863861,0.0465,0.04,784203.6258,44077.08984
01/04/13,0.051606222,0.050212942,99.04253501,0.0463,0.0389,770166.0033,42263.48047
01/05/13,0.05255372,0.04967714,99.80978854,0.0409,0.0373,766458.871,41588.32031
01/06/13,0.049957549,0.050362869,99.61133695,0.0347,0.0383,767710.0167,40623.30078
01/07/13,0.049536755,0.048618746,99.63645584,0.0346,0.0389,772613.7677,40837.87891
01/08/13,0.049838106,0.048217212,100.2867914,0.0339,0.0389,768900.2258,39492.37109
01/09/13,0.05082885,0.049783528,100.4868005,0.0336,0.0368,767328.4067,40185.23047
01/10/13,0.051802856,0.048951744,100.6634487,0.0362,0.0347,769580.871,41038.64844
01/11/13,0.050549029,0.045652081,100.4292302,0.0397,0.0348,796659.92,42499.12891
01/12/13,0.047088914,0.047367858,101.1388719,0.0448,0.0341,879134.5548,42727.08984
01/01/14,0.048420337,0.048882619,100.5069054,0.0423,0.0341,878763.9903,40879.75
01/02/14,0.04983531,0.047746603,101.6102248,0.0376,0.0339,858517.9679,38782.89063
01/03/14,0.051572835,0.053283839,101.7492349,0.035,0.0329,858280.5742,40461.60156
01/04/14,0.054111798,0.049316627,102.1676215,0.0351,0.0337,870061.9467,40711.55859
01/05/14,0.054856692,0.049680631,102.7879526,0.0375,0.0342,866521.6484,41362.51172
01/06/14,0.055054157,0.048386188,102.5622061,0.0407,0.0308,871737,42737.17188
01/07/14,0.055186523,0.052018376,102.9879472,0.0415,0.029,877152.3355,43817.69141
01/08/14,0.05517687,0.048517059,102.6879725,0.0422,0.0289,882972.7419,45628.08984
01/09/14,0.056638584,0.04789752,102.7524478,0.043,0.0286,882114.5367,44985.66016
01/10/14,0.059680322,0.046553392,103.675774,0.0417,0.0295,890371.4419,45027.51953
01/11/14,0.059250811,0.046317058,103.9312491,0.0408,0.0292,923162.59,44190.46875
01/12/14,0.055193138,0.041483684,104.1191621,0.0307,0.0292,1020867.645,43145.66016
01/01/15,0.053816901,0.043743554,104.3062321,0.03,0.0291,1028085.4,40950.57813
01/02/15,0.054415992,0.044455431,104.469191,0.0314,0.0294,1016568.975,44190.17188
01/03/15,0.053927887,0.04278631,104.6596822,0.0306,0.0312,1030217.939,43724.78125
01/04/15,0.054779461,0.043630781,105.8522125,0.0288,0.0309,1041118.67,44582.39063
01/05/15,0.055128317,0.044281068,105.2639142,0.0287,0.0309,1042964.687,44703.62109
01/06/15,0.054045965,0.044201648,105.6041558,0.0274,0.0312,1056668.57,45053.69922
01/07/15,0.053149751,0.044714006,106.4447754,0.0259,0.0313,1060414.739,44752.92969
01/08/15,0.052529019,0.043893416,106.6335607,0.0252,0.0335,1072715.342,43721.96094
01/09/15,0.053180732,0.041926126,107.8899048,0.0248,0.0333,1075050.92,42632.53906
01/10/15,0.054536055,0.044364113,106.6351834,0.0221,0.0313,1078291.035,44542.76172
01/11/15,0.052957536,0.040410158,106.2073608,0.0213,0.0322,1108408.293,43418.55078
01/12/15,0.050433139,0.042988514,106.4842582,0.0261,0.0329,1192705.987,42977.5
01/01/16,0.049610249,0.041578459,107.1117363,0.0287,0.033,1207373.926,43630.76953
01/02/16,0.05000096,0.042738208,107.5596575,0.026,0.0353,1191798.138,43714.92969
01/03/16,0.049650896,0.041472392,107.3184428,0.0254,0.0391,1210877.419,45881.07813
01/04/16,0.051407805,0.03834945,107.1235282,0.026,0.0383,1196002.477,45784.76953
01/05/16,0.051895679,0.039920499,107.7872076,0.0254,0.0394,1211505.823,45459.44922
01/06/16,0.050209155,0.039223799,108.1841739,0.0265,0.0414,1229931.16,45966.48828
01/07/16,0.051413364,0.037975405,108.2216805,0.0273,0.0439,1242823.797,46660.67188
01/08/16,0.050830371,0.037611931,108.2677287,0.0297,0.0436,1248964.81,47541.32031
01/09/16,0.051339321,0.038428185,109.0115186,0.0306,0.0448,1249458.74,47245.80078
01/10/16,0.052556207,0.035817306,109.3449679,0.0331,0.0485,1255504.684,48009.28125
01/11/16,0.051427901,0.03573046,109.6877371,0.0336,0.0547,1290522.357,45315.96094
01/12/16,0.049258632,0.036242999,110.328498,0.0472,0.0587,1377639.058,45642.89844
01/01/17,0.049339483,0.035293574,110.4089408,0.0486,0.0625,1397559.694,47001.05859
01/02/17,0.050929389,0.034540963,109.8322875,0.0535,0.0637,1382817.396,46856.78906
